hospital_fns_id,hospital_name_x,hospital_id,region_id,hospital_name_y,hospital_alternative_name,latitud,longitud,codigo,name_hospital
806.0,Hospital San Antonio de Putaendo,0,,,,,,,
807.0,Hospital Psiquiatrico Doctor Philippe Pinel de Putaendo,0,,,,,,,
808.0,Consultorio General Urbano de San Felipe,0,,,,,,,
809.0,Consultorio General Urbano Nº 2 de Los Andes,0,,,,,,,
8.01,Consultorio General Urbano de Llay Llay,0,,,,,,,
8.011,Centro De Salud Mental Comunitaria San Felipe,0,,,,,,,
8.012,Centro De Salud Mental Comunitaria Los Andes,0,,,,,,,
903.0,Hospital Rancagua,0,,,,,,,
904.0,Hospital Graneros,0,,,,,,,
905.0,Hospital Coinco,0,,,,,,,
906.0,Hospital Peumo,0,,,,,,,
907.0,Hospital de Rengo,0,,,,,,,
908.0,Hospital San Vicente,0,,,,,,,
909.0,Hospital Pichidegua,0,,,,,,,
9.01,Hospital San Fernando,0,,,,,,,
9.011,Hospital Chimbarongo,0,,,,,,,
9.012,Hospital Nancagua,0,,,,,,,
9.013,Hospital Santa Cruz,0,,,,,,,
9.014,Hospital Marchigue,0,,,,,,,
9.015,Hospital Pichilemu,0,,,,,,,
9.016,Hospital de Lolol,0,,,,,,,
9.017,Hospital de Litueche,0,,,,,,,
1.003,Hospital Curico,0,,,,,,,
1.004,Hospital de Teno,0,,,,,,,
1.005,Hospital Molina,0,,,,,,,
1.006,Hospital Hualane,0,,,,,,,
1.007,Hospital Licanten,0,,,,,,,
1.008,Hospital Talca,0,,,,,,,
1.009,Hospital Curepto,0,,,,,,,
10.01,Hospital Constitucion,0,,,,,,,
10.011,Hospital Linares,0,,,,,,,
10.012,Hospital San Javier,0,,,,,,,
10.013,Hospital Parral,0,,,,,,,
10.014,Hospital Cauquenes,0,,,,,,,
10.015,Hospital Chanco,0,,,,,,,
1.103,Hospital de Chillan,0,,,,,,,
1.104,Hospital de San Carlos,0,,,,,,,
1.105,Hospital de Bulnes,0,,,,,,,
1.106,Hospital de Yungay,0,,,,,,,
1.107,Hospital de Quirihue,0,,,,,,,
1.108,Hospital de Coelemu,0,,,,,,,
1.109,Hospital El Carmen,0,,,,,,,
11.01,Consultorio Violeta Parra,0,,,,,,,
11.011,Centro Comunitario Salud Mental,0,,,,,,,
1.203,Hospital Guillermo Grant Benavente,0,,,,,,,
1.204,Hospital Traumatologico,0,,,,,,,
1.205,Hospital de Coronel,0,,,,,,,
1.206,Hospital Lota,0,,,,,,,
1.207,Hospital Santa Juana,0,,,,,,,
1.208,Hospital Florida,0,,,,,,,
1.209,Consultorio Victor Manuel Fernandez,0,,,,,,,
12.01,Centro de Sangre y Tejidos,0,,,,,,,
1.303,Hospital Higueras,0,,,,,,,
1.304,Hospital Tome,0,,,,,,,
1.305,Hospital Penco Lirquen,0,,,,,,,
1.306,CESFAM LIRQUEN,0,,,,,,,
1.403,CENTRO REGULADOR SAMU SERVICIO SALUD BIO BIO,0,,,,,,,
1.404,Hospital Huepil,0,,,,,,,
1.405,Hospital de Laja,0,,,,,,,
1.406,Hospital de Los Angeles,0,,,,,,,
1.407,Hospital de Mulchen,0,,,,,,,
1.408,Hospital de Nacimiento,0,,,,,,,
1.409,Hospital de Yumbel,0,,,,,,,
14.01,Hospital Santa Barbara,0,,,,,,,
1.503,Hospital Arauco,0,,,,,,,
1.504,Hospital de CaÃ±ete,0,,,,,,,
1.505,Hospital Contulmo,0,,,,,,,
1.506,Hospital Curanilahue,0,,,,,,,
1.507,Hospital Lebu,0,,,,,,,
1.603,Hospital Angol,0,,,,,,,
1.604,Hospital Victoria,0,,,,,,,
1.605,Hospital Traiguen,0,,,,,,,
1.606,Hospital de Collipulli,0,,,,,,,
1.607,Hospital Puren,0,,,,,,,
1.608,Hospital Curacautin,0,,,,,,,
1.609,Hospital de Lonquimay,0,,,,,,,
1.703,Consultorio de Miraflores,0,,,,,,,
1.704,Hospital de Cunco,0,,,,,,,
1.705,Hospital Nueva Imperial,0,,,,,,,
1.706,Hospital Villarica,0,,,,,,,
1.707,Hospital Carahue,0,,,,,,,
1.708,Hospital Gorbea,0,,,,,,,
1.709,Hospital Pitrufquen,0,,,,,,,
17.01,Hospital Puerto Saavedra,0,,,,,,,
17.011,Hospital Tolten,0,,,,,,,
17.012,Hospital Galvarino,0,,,,,,,
17.013,Hospital Lautaro,0,,,,,,,
17.014,Hospital Loncoche,0,,,,,,,
17.015,Hospital Vilcun,0,,,,,,,
17.016,Hospital Temuco,0,,,,,,,
17.017, Complejo Asistencial Padre Las Casas,0,,,,,,,
1.803,Hospital de Valdivia,0,,,,,,,
1.804,Hospital de Corral,0,,,,,,,
1.805,Hospital de Los Lagos,0,,,,,,,
1.806,Hospital de Lanco,0,,,,,,,
1.807,Hospital de La Union,0,,,,,,,
1.808,Hospital de Rio Bueno,0,,,,,,,
1.809,Hospital de Paillaco,0,,,,,,,
18.01,Consultorio Externo,0,,,,,,,
18.011,Hospital Santa Elisa De San Jose De La Mariquina,0,,,,,,,
1.903,Hospital de Osorno,0,,,,,,,
1.904,Hospital Puerto Octay,0,,,,,,,
1.905,Hospital Purranque,0,,,,,,,
1.906,Hospital de Rio Negro,0,,,,,,,
1.907,Hospital Mision San Juan de la Costa,0,,,,,,,
1.908,Hospital del Perpetuo Socorro de Quilacahuin,0,,,,,,,
2.003,Hospital Calbuco,0,,,,,,,
2.004,Hospital Chaiten,0,,,,,,,
2.005,Hospital de Fresia,0,,,,,,,
2.006,Hospital de Frutillar,0,,,,,,,
2.007,Hospital Futaleufu,0,,,,,,,
2.008,Hospital de Llanquihue,0,,,,,,,
2.009,Hospital de Maullin,0,,,,,,,
20.01,Hospital de Palena,0,,,,,,,
20.011,Hospital de Puerto Montt,0,,,,,,,
20.012,Consultorio de Hualaihue,0,,,,,,,
20.013,SAMU RELONCAVI,0,,,,,,,
2.103,Direccion de Salud Rural,0,,,,,,,
2.104,Hospital de Cisnes,0,,,,,,,
2.105,Hospital de Chile Chico,0,,,,,,,
2.106,Hospital de Cochrane,0,,,,,,,
2.107,Hospital de Coyhaique,0,,,,,,,
2.108,Hospital de Puerto Aysen,0,,,,,,,
2.109,Consultorio A. Gutierrez,0,,,,,,,
21.01,Consultorio Victor Domingo Silva,0,,,,,,,
2.203,Hospital Porvenir,0,,,,,,,
2.204,Hospital de Puerto Natales,0,,,,,,,
2.205,Hospital Regional de Punta Arenas,0,,,,,,,
2.206,Cecosf Puerto Williams,0,,,,,,,
2.207,SAMU Magallanes,0,,,,,,,
2.208,Hospital Psiquiatrico,0,,,,,,,
2.209,Atencion Primaria de Salud,0,,,,,,,
22.01,UNIDAD SALUD MENTAL - CTAS COMPLEMENTARIAS,0,,,,,,,
22.011,ESTABLECIMIENTO LARGA ESTADIA ADULTO MAYOR,0,,,,,,,
22.012,Hospital Comunitario Cristina Calderon de Puerto Williams,0,,,,,,,
2.303,Hospital del Torax,0,,,,,,,
2.304,Hospital Luis Calvo Mackenna,0,,,,,,,
2.305,Hospital Santiago Oriente Luis Tisne,0,,,,,,,
2.306,Hospital Salvador,0,,,,,,,
2.307,Instituto de Geriatria,0,,,,,,,
2.308,Instituto de Neurocirugia,0,,,,,,,
2.309,Instituto Pedro Aguirre Cerda,0,,,,,,,
23.01,Hospital de Hanga Roa,0,,,,,,,
2.403,Direccion Atencion Primaria,0,,,,,,,
2.404,Hospital Clinico San Borja Arriaran,0,,,,,,,
2.405,Hospital De Urgencia Asistencia Publica,0,,,,,,,
2.406,Hospital El Carmen,0,,,,,,,
2.407,Centro Metropolitano de Atencion Hospitalaria,0,,,,,,,
2.503,Hospital Barros Luco Trudeau,0,,,,,,,
2.504,Hospital Enfermedades Infecciosas,0,,,,,,,
2.505,Hospital Exequiel Gonzalez Cortes,0,,,,,,,
2.506,Hospital San Luis de Buin,0,,,,,,,
2.507,Hospital Sanatorio El Peral,0,,,,,,,
2.508,Hospital Sanatorio El Pino,0,,,,,,,
2.603,Centro De Diagnostico Terapeutico,0,,,,,,,
2.604,Hospital de Til Til,0,,,,,,,
2.605,Hospital Roberto del Rio,0,,,,,,,
2.606,Hospital San Jose,0,,,,,,,
2.607,Instituto Nacional del Cancer,0,,,,,,,
2.608,Instituto Psiquiatrico,0,,,,,,,
2.703,Centro de Referencia Salud Occidente Salvador Allende,0,,,,,,,
2.704,Hospital de Curacavi,0,,,,,,,
2.705,Hospital de Melipilla,0,,,,,,,
2.706,Hospital de PeÃ±aflor,0,,,,,,,
2.707,Hospital de Talagante,0,,,,,,,
2.708,Hospital Felix Bulnes,0,,,,,,,
2.709,Hospital San Juan de Dios,0,,,,,,,
27.01,Instituto Traumatologico,0,,,,,,,
27.011,Hospital Metropolitano,0,,,,,,,
2.803,Centro de Referencia de Salud,0,,,,,,,
2.804,Hospital Sotero del Rio,0,,,,,,,
2.805,Hospital San Jose de Maipo,0,,,,,,,
2.806,Hospital La Florida,0,,,,,,,
2.807,CRS Puente Alto,0,,,,,,,
3.001, Hospital Padre Alberto Hurtado,0,,,,,,,
3.101,Centro de Referencia de Salud Maipu,0,,,,,,,
3.201,Centro de Referencia de Salud de PeÃ±alolen Cordillera Oriente,0,,,,,,,
3.302,Hospital Castro,0,,,,,,,
3.303,Hospital Quellon,0,,,,,,,
3.304,Hospital Achao,0,,,,,,,
3.305,Hospital Queilen,0,,,,,,,
3.306,Hospital Ancud,0,,,,,,,
