hospital_id;hospital_fns_id;region_id;hospital_name;hospital_alternative_name;latitud;longitud
108102;805;5.0;Hospital San Francisco (Llaillay);Hospital San Francisco de Llay Llay;-328377;-709502
108104;806;5.0;Hospital San Antonio (Putaendo);Hospital San Antonio de  Putaendo;-326214;-707253
108105;807;5.0;Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo);Hospital Psiquiátrico Doctor  Philippe Pinel de Putaendo;-326212;-707263
115100;903;6.0;Hospital Regional de Rancagua;Hospital Rancagua;-341713;-707449
115101;904;6.0;Hospital Santa Filomena (Graneros);Hospital Graneros;-340667;-707264
115102;905;6.0;Hospital de Coínco;Hospital Coínco;-342667;-709933
115103;906;6.0;Hospital Del Salvador (Peumo);Hospital Peumo;-343903;-712542
115104;907;6.0;Hospital Dr. Ricardo Valenzuela Sáez (Rengo);Hospital de Rengo;-344065;-708587
115105;908;6.0;Hospital San Vicente de Tagua-Tagua;Hospital San Vicente;-344487;-709682
115106;909;6.0;Hospital de Pichidegua;Hospital Pichidegua;-342998;-712786
115107;9010;6.0;Hospital San Juan de Dios (San Fernando);Hospital San Fernando;-345817;-709899
115108;9011;6.0;Hospital Mercedes (Chimbarongo);Hospital Chimbarongo;-347239;-710394
115109;9012;6.0;Hospital de Nancagua;Hospital Nancagua;-347012;-711288
115110;9013;6.0;Hospital de Santa Cruz;Hospital Santa Cruz;-346364;-713657
115111;9014;6.0;Hospital de Marchigüe;Hospital Marchigue;-344231;-715873
115112;9015;6.0;Hospital de Pichilemu;Hospital Pichilemu;-343869;-720095
115113;9016;6.0;Hospital de Lolol;Hospital de Lolol;-347589;-716721
115114;9017;6.0;Hospital de Litueche;Hospital de Litueche;-341344;-716822
116100;1003;7.0;Hospital San Juan de Dios (Curicó);Hospital Curicó;-349824;-712433
116101;1004;7.0;Hospital de Teno;Hospital de Teno;-348749;-711676
116102;1005;7.0;Hospital de Molina;Hospital Molina;-351155;-712826
116103;1006;7.0;Hospital de Hualañé;Hospital Hualane;-349768;-717986
116104;1007;7.0;Hospital de Licantén;Hospital Licantén;-349983;-718771
116105;1008;7.0;Hospital Dr. César Garavagno Burotto (Talca);Hospital Talca;-354232;-716485
116106;1009;7.0;Hospital de Curepto;Hospital Curepto;-350834;-720038
116107;10010;7.0;Hospital de Constitución;Hospital Constitución;-353329;-724162
116108;10011;7.0;Hospital Presidente Carlos Ibáñez del Campo (Linares);Hospital Linares;-358487;-715901
116109;10012;7.0;Hospital Dr. Abel Fuentealba Lagos de San Javier;Hospital San Javier;-355911;-717362
116110;10013;7.0;Hospital San José (Parral);Hospital Parral;-361438;-718369
116111;10014;7.0;Hospital San Juan de Dios (Cauquenes);Hospital Cauquenes;-359637;-723228
116112;10015;7.0;Hospital Dr. Benjamín Pedreros (Chanco);Hospital Chanco;-357335;-725435
117101;1103;16.0;Hospital Clínico Herminda Martín (Chillán);Hospital de Chillán;-366063;-721024
117102;1104;16.0;Hospital de San Carlos;Hospital de San Carlos;-364267;-719592
117103;1105;16.0;Hospital Comunitario de Salud Familiar de Bulnes;Hospital de Bulnes;-367411;-722996
117104;1106;16.0;Hospital Comunitario de Salud Familiar Pedro Morales Campos (Yungay);Hospital de Yungay;-371013;-719325
117106;1107;16.0;Hospital Comunitario de Salud Familiar de Quirihue;Hospital de Quirihue;-362821;-725323
117108;1108;16.0;Hospital Comunitario de Salud Familiar Dr. Eduardo Contreras Trabucco de Coelemu;Hospital de Coelemu;-364942;-727081
117107;1109;16.0;Hospital Comunitario de Salud Familiar de El Carmen;Hospital El Carmen;-365639;-720405
118100;1203;8.0;Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción);Hospital Guillermo  Grant Benavente;-368201;-730503
118103;1204;8.0;Hospital Traumatológico (Concepción);Hospital Traumatológico;-368276;-730565
118105;1205;8.0;Hospital San José (Coronel);Hospital de Coronel;-370302;-731412
118106;1206;8.0;Hospital de Lota;Hospital Lota;-370887;-731581
118107;1207;8.0;Hospital Clorinda Avello (Santa Juana);Hospital Santa Juana;-371696;-729339
118108;1208;8.0;Hospital San Agustín de Florida;Hospital Florida;-368227;-726696
119100;1303;8.0;Hospital Las Higueras (Talcahuano);Hospital Higueras;-367185;-731217
119101;1304;8.0;Hospital de Tomé;Hospital Tome;-366206;-729515
119102;1305;8.0;Hospital Penco - Lirquén;Hospital Penco Lirquén;-367399;-729955
0;1403;;;Hospital Huepil;;
120107;1404;8.0;Hospital Comunitario Dr. Roberto Muñoz Urrutia de Huépil;Hospital de Laja;-376869;-720197
120105;1405;8.0;Hospital Comunitario de Laja;Hospital de Los Ángeles;-372837;-727105
120101;1406;8.0;Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles);Hospital de Mulchén;-374621;-723604
120102;1407;8.0;Hospital Comunitario de Mulchén;Hospital de Nacimiento;-377222;-722329
120103;1408;8.0;Hospital Comunitario de Nacimiento;Hospital de Yumbel;-375079;-726766
120104;1409;8.0;Hospital Comunitario de Yumbel;Hospital Santa Bárbara;-370846;-725645
128113;1503;8.0;Hospital San Vicente (Arauco);Hospital Arauco;-372462;-733219
128111;1504;8.0;Hospital Intercultural Kallvu Llanka (Cañete);Hospital de Cañete;-378047;-733832
128112;1505;8.0;Hospital de Contulmo;Hospital Contulmo;-380172;-732277
128109;1506;8.0;Hospital Provincial Dr. Rafael Avaría (Curanilahue);Hospital Curanilahue;-374764;-733437
128110;1507;8.0;Hospital de Lebu;Hospital Lebu;-376088;-736595
129100;1603;9.0;Hospital Dr. Mauricio Heyermann (Angol);Hospital Angol;-377966;-727099
129106;1604;9.0;Hospital San José de Victoria;Hospital Victoria;-382363;-723315
129104;1605;9.0;Hospital Dr. Dino Stagno M.(Traiguén);Hospital Traiguén;-382502;-726886
129103;1606;9.0;Hospital de Collipulli;Hospital de Collipulli;-379536;-724364
129101;1607;9.0;Hospital de Purén;Hospital Purén;-380503;-726734
129107;1608;9.0;Hospital Dr. Oscar Hernández E.(Curacautín);Hospital Curacautín;-384353;-718888
129108;1609;9.0;Hospital de Lonquimay;Hospital de Lonquimay;-384476;-712306
121113;1704;9.0;Hospital Dr. Eduardo González Galeno (Cunco);Hospital de Cunco;-389325;-720292
121114;1705;9.0;Hospital Intercultural de Nueva Imperial;Hospital Nueva Imperial;-387449;-729503
121121;1706;9.0;Hospital de Villarrica;Hospital Villarica;-392868;-722278
121115;1707;9.0;Hospital de Carahue;Hospital Carahue;-387082;-731669
121119;1708;9.0;Hospital de Gorbea;Hospital Gorbea;-390973;-726763
121117;1709;9.0;Hospital de Pitrufquén;Hospital Pitrufquén;-392291;-726402
121116;17010;9.0;Hospital Dr. Arturo Hillerns Larrañaga (Saavedra);Hospital Puerto Saavedra;-387779;-734003
121118;17011;9.0;Hospital de Toltén;Hospital Toltén;-392144;-732075
121111;17012;9.0;Hospital de Galvarino;Hospital Galvarino;-384178;-727738
121110;17013;9.0;Hospital Dr. Abraham Godoy (Lautaro);Hospital Lautaro;-385277;-724466
121120;17014;9.0;Hospital de Loncoche;Hospital Loncoche;-393702;-726311
121112;17015;9.0;Hospital de Vilcún;Hospital Vilcún;-386547;-722248
121109;17016;9.0;Hospital Dr. Hernán Henríquez Aravena (Temuco);Hospital Temuco;-387335;-725963
122100;1803;14.0;Hospital Clínico Regional (Valdivia);002 Hospital de Valdivia;-398099;-732459
122101;1804;14.0;Hospital de Corral;Hospital de Corral;-398826;-734306
122102;1805;14.0;Hospital de Los Lagos;Hospital de Los Lagos;-398561;-728254
122103;1806;14.0;Hospital de Lanco;Hospital de Lanco;-394529;-727751
122104;1807;14.0;Hospital Juan Morey (La Unión);Hospital de La Unión;-402931;-730812
122105;1808;14.0;Hospital de Río Bueno;Hospital de Río Bueno;-403326;-729535
122106;1809;14.0;Hospital de Paillaco;Hospital de Paillaco;-400692;-728776
123100;1903;10.0;Hospital Base San José de Osorno;Hospital de Osorno;-405744;-731252
123103;1904;10.0;Hospital de Puerto Octay;Hospital Puerto Octay;-409736;-729002
123101;1905;10.0;Hospital de Purranque;Hospital Purranque;-409074;-731689
123102;1906;10.0;Hospital de Río Negro;Hospital de Río Negro;-407839;-732163
123104;1907;10.0;Hospital Misión San Juan de la Costa;Hospital Misión San Juan de la Costa;-405785;-733772
123105;1908;10.0;Hospital del Perpetuo Socorro de Quilacahuín;Hospital del Perpetuo Socorro de Quilacahuín;-407554;-734516
124130;2003;10.0;Hospital de Calbuco;Hospital Calbuco;-417726;-731315
0;2004;;;Hospital Chaitén;;
124120;2005;10.0;Hospital de Fresia;Hospital de Fresia;-411517;-734081
124115;2006;10.0;Hospital de Frutillar;Hospital de Frutillar;-411267;-730707
124145;2007;10.0;Hospital de Futaleufú;Hospital Futaleufú;-431863;-718684
124110;2008;10.0;Hospital de Llanquihue;Hospital de Llanquihue;-412606;-730042
124125;2009;10.0;Hospital de Maullín;Hospital de Maullín;-416192;-736056
124140;20010;10.0;Hospital de Palena;Hospital de Palena;-436161;-718036
124105;20011;10.0;Hospital de Puerto Montt;Hospital de Puerto Montt;-414687;-729411
125104;2104;11.0;Hospital Dr. Jorge Ibar (Cisnes);Hospital de Cisnes;-447477;-726964
125102;2105;11.0;Hospital Dr. Leopoldo Ortega R. (Chile Chico);Hospital de Chile Chico;-465416;-717265
125103;2106;11.0;Hospital Lord Cochrane;Hospital de Cochrane;-472549;-725687
125100;2107;11.0;Hospital Regional (Coihaique);Hospital de Coyhaique;-455713;-720661
125101;2108;11.0;Hospital de Puerto Aysén;Hospital de Puerto Aysén;-454037;-726993
126102;2203;12.0;Hospital Dr. Marco Antonio Chamorro ( Porvenir);Hospital Porvenir;-532984;-703683
126101;2204;12.0;Hospital Dr. Augusto Essmann Burgos ( Natales);Hospital de Puerto Natales;-517264;-725143
126100;2205;12.0;Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria;Hospital Regional de Punta Arenas;-531598;-709056
112103;2303;13.0;Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica;Hospital del Tórax;-334428;-706193
112102;2304;13.0;Hospital de Niños Dr. Luis Calvo Mackenna (Santiago;Hospital Luis Calvo Mackenna;;-334401
112101;2305;13.0;Hospital Dr. Luis Tisné B. (Santiago;Hospital Santiago Oriente Luis Tisne;;-334711
112100;2306;13.0;Hospital Del Salvador (Santiago;Hospital Salvador;;-334345
112106;2307;13.0;Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva;Instituto de Geriatría;-334269;-706456
112104;2308;13.0;Instituto de Neurocirugía Dr. Alfonso Asenjo;Instituto de Neurocirugía;-334384;-706492
112105;2309;13.0;Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda;Instituto Pedro Aguirre Cerda;-334285;-706498
112107;23010;13.0;Hospital Hanga Roa (Isla De Pascua);Hospital de Hanga Roa;-271501;-1094209
111100;2404;13.0;Hospital Clínico San Borja-Arriarán (Santiago;Hospital Clínico San Borja Arriaran;;-334566
111101;2406;13.0;Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada;Hospital El Carmen de Maipú;-335089;-707552
113100;2503;13.0;Hospital Barros Luco Trudeau (Santiago;Hospital Barros Luco Trudeau;;-334866
113160;2504;13.0;Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago;Hospital Enfermedades Infecciosas;;-334984
113130;2505;13.0;Hospital Dr. Exequiel González Cortés (Santiago;Hospital Exequiel González Cortés;;-335013
113150;2506;13.0;Hospital San Luis (Buin);Hospital San Luis de Buin;-337336;-707478
113170;2507;13.0;Hospital Psiquiátrico El Peral (Santiago;Hospital Sanatorio El Peral;;-335876
113180;2508;13.0;Hospital El Pino (Santiago;Hospital Sanatorio El Pino;;-336091
109104;2604;13.0;Hospital de Til Til;Hospital de Til Til;-331383;-708035
109101;2605;13.0;Hospital Clínico de Niños Dr. Roberto del Río (Santiago;Hospital Roberto del Río;;-334164
109100;2606;13.0;Complejo Hospitalario San José (Santiago;Hospital San José;;-334074
109103;2607;13.0;Instituto Nacional del Cáncer Dr. Caupolicán Pardo Correa (Santiago;Instituto Nacional del Cáncer;;-333986
109102;2608;13.0;Instituto Psiquiátrico Dr. José Horwitz Barak (Santiago;Instituto Psiquiátrico;;-334032
110160;2704;13.0;Hospital de Curacaví;Hospital de Curacaví;-333961;-711549
110150;2705;13.0;Hospital San José (Melipilla);Hospital de Melipilla;-336864;-712145
110140;2706;13.0;Hospital de Peñaflor;Hospital de Peñaflor;-336051;-708789
110130;2707;13.0;Hospital Adalberto Steeger (Talagante);Hospital de Talagante;-336727;-709278
110120;2708;13.0;Hospital Dr. Félix Bulnes Cerda (Santiago;Hospital Félix Bulnes;;-334358
110100;2709;13.0;Hospital San Juan de Dios (Santiago;Hospital San Juan de Dios;;-334378
110110;27010;13.0;Instituto Traumatológico Dr. Teodoro Gebauer;Instituto Traumatológico;-334413;-706638
0;2803;;;Hospital Metropolitano;;
114101;2805;13.0;Complejo Hospitalario Dr. Sótero del Río (Santiago;Hospital Sotero del Río;;-335847
114102;2806;13.0;Hospital San José de Maipo;Hospital San José de Maipo;-336764;-703508
114105;2807;13.0;Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza;Hospital La Florida;-335208;-705994
114103;3001;13.0;Hospital Padre Alberto Hurtado (San Ramón);Hospital Padre Alberto Hurtado;-335119;-706446
111351;3101;13.0;Centro de Referencia de Salud de Maipú;Centro de Referencia de Salud Maipú;-335116;-707603
133150;3302;10.0;Hospital de Castro;Hospital Castro;-424794;-737659
133165;3303;10.0;Hospital de Quellón;Hospital Quellón;-431171;-736256
133160;3304;10.0;Hospital Comunitario de Achao;Hospital Achao;-424806;-734826
133170;3305;10.0;Hospital de Queilén;Hospital Queilen;-428825;-734697
133155;3306;10.0;Hospital de Ancud;Hospital Ancud;-418703;-738222
