hospital_id,hospital_name,year,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
115100,Hospital de Rancagua,2019,1.11,1.11,1.11,1.11,1.11,1.11,1.1,1.1,1.13,1.16,1.2,1.23,1.13,1.13,1.13,1.13,1.13,1.13
115107,Hospital San Fernando,2019,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.18,1.18,1.18,1.18,1.18,1.18
116100,Hospital de Curicó,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.09,1.09,1.09,1.09,1.09,1.09
116105,Hospital de Talca,2019,790569415042190.0,790569415042190.0,790569415042190.0,inf,inf,inf,790569415042328.0,790569415041898.0,790569415042348.0,inf,inf,inf,1.17,1.17,1.17,1.17,1.17,1.17
116108,Hospital de Linares,2019,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.09,1.07,1.06,1.0,1.0,1.0,1.0,1.0,1.0
117101,Hospital de Chillán,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117102,Hospital de San Carlos,2019,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.63,0.68,0.75,0.79,0.82,1.0,1.0,1.0,1.0,1.0,1.0
118100,Hospital Guillermo Grant Benavente,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,1.02,1.02,1.03,1.04,1.21,1.21,1.21,1.21,1.21,1.21
118105,Hospital de Coronel,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.05,1.07,1.1,1.12,1.15,1.0,1.0,1.0,1.0,1.0,1.0
119100,Hospital de Las Higueras,2019,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.27,1.29,1.31,1.07,1.07,1.07,1.07,1.07,1.07
120101,Hospital de Los Ángeles,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.11,1.19,1.27,1.35,1.45,1.54,1.11,1.11,1.11,1.11,1.11,1.11
121109,Hospital de Temuco,2019,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.28,1.28,1.28,1.28,1.28,0.91,0.91,0.91,0.91,0.91,0.91
122100,Hospital de Valdivia,2019,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.16,1.01,0.88,0.77,0.68,1.06,1.06,1.06,1.06,1.06,1.06
123100,Hospital de Osorno,2019,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.14,1.14,1.14,1.14,1.14,1.14
124105,Hospital de Puerto Montt,2019,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.2,1.2,1.2,1.2,1.2,1.2
125100,Hospital de Coyhaique,2019,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,,,,,,
126100,Hospital Regional de Punta Arenas,2019,1.13,1.13,1.13,1.13,1.13,1.13,1.11,1.09,1.07,1.05,1.02,1.0,,,,,,
129100,Hospital de Angol,2019,1.06,1.06,1.06,1.06,1.06,1.06,1.09,1.12,1.09,1.09,1.09,1.09,,,,,,
129106,Hospital de Victoria,2019,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.32,1.41,1.45,1.48,,,,,,
133150,Hospital de Castro,2019,1.08,1.08,1.08,1.08,1.08,1.08,1.1,1.09,1.08,1.07,1.06,1.05,,,,,,
