hospital_fns_id,hospital_name_x,hospital_id,region_id,hospital_name_y,hospital_alternative_name,latitud,longitud
905.0,Hospital Coinco,,,,,,
906.0,Hospital Peumo,,,,,,
907.0,Hospital de Rengo,,,,,,
908.0,Hospital San Vicente,,,,,,
909.0,Hospital Pichidegua,,,,,,
9.01,Hospital San Fernando,,,,,,
9.011,Hospital Chimbarongo,,,,,,
9.012,Hospital Nancagua,,,,,,
9.013,Hospital Santa Cruz,,,,,,
9.014,Hospital Marchigue,,,,,,
9.015,Hospital Pichilemu,,,,,,
9.016,Hospital de Lolol,,,,,,
9.017,Hospital de Litueche,,,,,,
1.003,Hospital Curico,,,,,,
1.004,Hospital de Teno,,,,,,
1.005,Hospital Molina,,,,,,
1.006,Hospital Hualane,,,,,,
1.007,Hospital Licanten,,,,,,
1.008,Hospital Talca,,,,,,
1.009,Hospital Curepto,,,,,,
10.01,Hospital Constitucion,,,,,,
10.011,Hospital Linares,,,,,,
10.012,Hospital San Javier,,,,,,
10.013,Hospital Parral,,,,,,
10.014,Hospital Cauquenes,,,,,,
10.015,Hospital Chanco,,,,,,
1.103,Hospital de Chillan,,,,,,
1.104,Hospital de San Carlos,,,,,,
1.105,Hospital de Bulnes,,,,,,
1.106,Hospital de Yungay,,,,,,
1.107,Hospital de Quirihue,,,,,,
1.108,Hospital de Coelemu,,,,,,
1.109,Hospital El Carmen,,,,,,
11.01,Consultorio Violeta Parra,,,,,,
11.011,Centro Comunitario Salud Mental,,,,,,
1.203,Hospital Guillermo Grant Benavente,,,,,,
1.204,Hospital Traumatologico,,,,,,
1.205,Hospital de Coronel,,,,,,
1.206,Hospital Lota,,,,,,
1.207,Hospital Santa Juana,,,,,,
1.208,Hospital Florida,,,,,,
1.209,Consultorio Victor Manuel Fernandez,,,,,,
12.01,Centro de Sangre y Tejidos,,,,,,
1.303,Hospital Higueras,,,,,,
1.304,Hospital Tome,,,,,,
1.305,Hospital Penco Lirquen,,,,,,
1.306,CESFAM LIRQUEN,,,,,,
1.403,CENTRO REGULADOR SAMU SERVICIO SALUD BIO BIO,,,,,,
1.404,Hospital Huepil,,,,,,
1.405,Hospital de Laja,,,,,,
1.406,Hospital de Los Angeles,,,,,,
1.407,Hospital de Mulchen,,,,,,
1.408,Hospital de Nacimiento,,,,,,
1.409,Hospital de Yumbel,,,,,,
14.01,Hospital Santa Barbara,,,,,,
1.503,Hospital Arauco,,,,,,
1.504,Hospital de Ca̱ete,,,,,,
1.505,Hospital Contulmo,,,,,,
1.506,Hospital Curanilahue,,,,,,
1.507,Hospital Lebu,,,,,,
1.603,Hospital Angol,,,,,,
1.604,Hospital Victoria,,,,,,
1.605,Hospital Traiguen,,,,,,
1.606,Hospital de Collipulli,,,,,,
1.607,Hospital Puren,,,,,,
1.608,Hospital Curacautin,,,,,,
1.609,Hospital de Lonquimay,,,,,,
1.703,Consultorio de Miraflores,,,,,,
1.704,Hospital de Cunco,,,,,,
1.705,Hospital Nueva Imperial,,,,,,
1.706,Hospital Villarica,,,,,,
1.707,Hospital Carahue,,,,,,
1.708,Hospital Gorbea,,,,,,
1.709,Hospital Pitrufquen,,,,,,
17.01,Hospital Puerto Saavedra,,,,,,
17.011,Hospital Tolten,,,,,,
17.012,Hospital Galvarino,,,,,,
17.013,Hospital Lautaro,,,,,,
17.014,Hospital Loncoche,,,,,,
17.015,Hospital Vilcun,,,,,,
17.016,Hospital Temuco,,,,,,
17.017,Complejo Asistencial Padre Las Casas,,,,,,
1.803,Hospital de Valdivia,,,,,,
1.804,Hospital de Corral,,,,,,
1.805,Hospital de Los Lagos,,,,,,
1.806,Hospital de Lanco,,,,,,
1.807,Hospital de La Union,,,,,,
1.808,Hospital de Rio Bueno,,,,,,
1.809,Hospital de Paillaco,,,,,,
18.01,Consultorio Externo,,,,,,
18.011,Hospital Santa Elisa De San Jose De La Mariquina,,,,,,
1.903,Hospital de Osorno,,,,,,
1.904,Hospital Puerto Octay,,,,,,
1.905,Hospital Purranque,,,,,,
1.906,Hospital de Rio Negro,,,,,,
1.907,Hospital Mision San Juan de la Costa,,,,,,
1.908,Hospital del Perpetuo Socorro de Quilacahuin,,,,,,
2.003,Hospital Calbuco,,,,,,
2.004,Hospital Chaiten,,,,,,
2.005,Hospital de Fresia,,,,,,
2.006,Hospital de Frutillar,,,,,,
2.007,Hospital Futaleufu,,,,,,
2.008,Hospital de Llanquihue,,,,,,
2.009,Hospital de Maullin,,,,,,
20.01,Hospital de Palena,,,,,,
20.011,Hospital de Puerto Montt,,,,,,
20.012,Consultorio de Hualaihue,,,,,,
20.013,SAMU RELONCAVI,,,,,,
2.103,Direccion de Salud Rural,,,,,,
2.104,Hospital de Cisnes,,,,,,
2.105,Hospital de Chile Chico,,,,,,
2.106,Hospital de Cochrane,,,,,,
2.107,Hospital de Coyhaique,,,,,,
2.108,Hospital de Puerto Aysen,,,,,,
2.109,Consultorio A. Gutierrez,,,,,,
21.01,Consultorio Victor Domingo Silva,,,,,,
2.203,Hospital Porvenir,,,,,,
2.204,Hospital de Puerto Natales,,,,,,
2.205,Hospital Regional de Punta Arenas,,,,,,
2.206,Cecosf Puerto Williams,,,,,,
2.207,SAMU Magallanes,,,,,,
2.208,Hospital Psiquiatrico,,,,,,
2.209,Atencion Primaria de Salud,,,,,,
22.01,UNIDAD SALUD MENTAL - CTAS COMPLEMENTARIAS,,,,,,
22.011,ESTABLECIMIENTO LARGA ESTADIA ADULTO MAYOR,,,,,,
22.012,Hospital Comunitario Cristina Calderon de Puerto Williams,,,,,,
2.303,Hospital del Torax,,,,,,
2.304,Hospital Luis Calvo Mackenna,,,,,,
2.305,Hospital Santiago Oriente Luis Tisne,,,,,,
2.306,Hospital Salvador,,,,,,
2.307,Instituto de Geriatria,,,,,,
2.308,Instituto de Neurocirugia,,,,,,
2.309,Instituto Pedro Aguirre Cerda,,,,,,
23.01,Hospital de Hanga Roa,,,,,,
23.011,Hospital Metropolitano,,,,,,
2.403,Direccion Atencion Primaria,,,,,,
2.404,Hospital Clinico San Borja Arriaran,,,,,,
2.405,Hospital De Urgencia Asistencia Publica,,,,,,
2.406,Hospital El Carmen,,,,,,
2.407,Centro Metropolitano de Atencion Hospitalaria,,,,,,
2.503,Hospital Barros Luco Trudeau,,,,,,
2.504,Hospital Enfermedades Infecciosas,,,,,,
2.505,Hospital Exequiel Gonzalez Cortes,,,,,,
2.506,Hospital San Luis de Buin,,,,,,
2.507,Hospital Sanatorio El Peral,,,,,,
2.508,Hospital Sanatorio El Pino,,,,,,
2.603,Centro De Diagnostico Terapeutico,,,,,,
2.604,Hospital de Til Til,,,,,,
2.605,Hospital Roberto del Rio,,,,,,
2.606,Hospital San Jose,,,,,,
2.607,Instituto Nacional del Cancer,,,,,,
2.608,Instituto Psiquiatrico,,,,,,
2.703,Centro de Referencia Salud Occidente Salvador Allende,,,,,,
2.704,Hospital de Curacavi,,,,,,
2.705,Hospital de Melipilla,,,,,,
2.706,Hospital de Pe̱aflor,,,,,,
2.707,Hospital de Talagante,,,,,,
2.708,Hospital Felix Bulnes,,,,,,
2.709,Hospital San Juan de Dios,,,,,,
27.01,Instituto Traumatologico,,,,,,
2.803,Centro de Referencia de Salud,,,,,,
2.804,Hospital Sotero del Rio,,,,,,
2.805,Hospital San Jose de Maipo,,,,,,
2.806,Hospital La Florida,,,,,,
2.807,CRS Puente Alto,,,,,,
3.001,Hospital Padre Alberto Hurtado,,,,,,
3.101,Centro de Referencia de Salud Maipu,,,,,,
3.201,Centro de Referencia de Salud de Pe̱alolen Cordillera Oriente,,,,,,
3.302,Hospital Castro,,,,,,
3.303,Hospital Quellon,,,,,,
3.304,Hospital Achao,,,,,,
3.305,Hospital Queilen,,,,,,
3.306,Hospital Ancud,,,,,,
