hospital_id,hospital_fns_id,region,hospital_name,hospital_alternative_name,slug
110100,2709,13,Hospital San Juan de Dios (Santiago),Hospital San Juan de Dios (Santiago),hospital-san-juan-de-dios
111195,2405,13,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Hospital de Urgencia Asistencia Pública,hospital-de-urgencia-asistencia-publica-dr-alejandro-del-rio
112105,2309,13,Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda,Instituto Pedro Aguirre Cerda,instituto-nacional-de-rehabilitacion-infantil-presidente-pedro-aguirre-cerda
111100,2404,13,Hospital Clínico San Borja Arriarán,Hospital Clínico San Borja Arriarán,hospital-clinico-san-borja-arriaran
113130,2505,13,Hospital Dr. Exequiel González Cortés,Hospital Exequiel González Cortés,hospital-dr-exequiel-gonzalez-cortes
113100,2503,13,Hospital Barros Luco Trudeau,Hospital Barros Luco Trudeau,hospital-barros-luco-trudeau
112101,2305,13,Hospital Dr. Luis Tisné B.,Hospital Santiago Oriente Luis Tisne,hospital-dr-luis-tisne-b
111101,2406,13,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Hospital El Carmen de Maipú,hospital-clinico-metropolitano-el-carmen-doctor-luis-valentin-ferrada
114105,2807,13,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,Hospital La Florida,hospital-clinico-metropolitano-la-florida-dra-eloisa-diaz-insunza
114103,3001,13,Hospital Padre Alberto Hurtado,Hospital Padre Alberto Hurtado,hospital-padre-alberto-hurtado
114101,2805,13,Complejo Hospitalario Dr. Sótero del Río,Hospital Sótero del Río,complejo-hospitalario-dr-sotero-del-rio
113180,2508,13,Hospital El Pino,Hospital Sanatorio El Pino,hospital-el-pino
106103,604,5,Hospital Claudio Vicuña,Hospital Claudio Vicuña,hospital-claudio-vicuna
110150,2705,13,Hospital San José,Hospital de Melipilla,hospital-san-jose
115100,903,6,Hospital Regional de Rancagua,Hospital de Rancagua,hospital-regional-de-rancagua
115107,9010,6,Hospital San Juan de Dios (San Fernando),Hospital San Fernando,hospital-san-juan-de-dios-de-san-fernando
116100,1003,7,Hospital San Juan de Dios (Curicó),Hospital de Curicó,hospital-san-juan-de-dios
116105,1008,7,Hospital Dr. César Garavagno Burotto,Hospital de Talca,hospital-dr-cesar-garavagno-burotto
116108,10011,7,Hospital Presidente Carlos Ibáñez del Campo,Hospital de Linares,hospital-presidente-carlos-ibanez-del-campo
117102,1104,16,Hospital de San Carlos,Hospital de San Carlos,hospital-de-san-carlos
117101,1103,16,Hospital Clínico Herminda Martín,Hospital de Chillán,hospital-clinico-herminda-martin
119101,1304,8,Hospital de Tomé,Hospital de Tomé,hospital-de-tome
119100,1303,8,Hospital Las Higueras,Hospital de Las Higueras,hospital-las-higueras
118100,1203,8,Hospital Clínico Regional Dr. Guillermo Grant Benavente,Hospital Guillermo Grant Benavente,hospital-clinico-regional-dr-guillermo-grant-benavente
118105,1205,8,Hospital San José,Hospital de Coronel,hospital-san-jose
118106,1206,8,Hospital de Lota,Hospital de Lota,hospital-de-lota
120101,1405,8,Complejo Asistencial Dr. Víctor Ríos Ruiz,Hospital de Los Ángeles,complejo-asistencial-dr-victor-rios-ruiz
129100,1603,9,Hospital Dr. Mauricio Heyermann,Hospital de Angol,hospital-dr-mauricio-heyermann
129106,1604,9,Hospital San José de Victoria,Hospital de Victoria,hospital-san-jose-de-victoria
121109,17016,9,Hospital Dr. Hernán Henríquez Aravena,Hospital de Temuco,hospital-dr-hernan-henriquez-aravena
122100,1803,14,Hospital Clínico Regional de Valdivia,Hospital de Valdivia,hospital-clinico-regional
123100,1903,10,Hospital Base San José de Osorno,Hospital de Osorno,hospital-base-san-jose-de-osorno
124105,20011,10,Hospital de Puerto Montt,Hospital de Puerto Montt,hospital-de-puerto-montt
133150,3302,10,Hospital de Castro,Hospital de Castro,hospital-de-castro
125100,2107,11,Hospital Regional de Coyhaique,Hospital de Coyhaique,hospital-regional
126100,2205,12,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avari,Hospital Regional de Punta Arenas,hospital-clinico-de-magallanes-dr-lautaro-navarro-avari
