hospital_id,hospital_name
18010,Consultorio Externo
18011,Hospital Santa Elisa De San Jose De La Mariquina
1903,Hospital de Osorno
1904,Hospital Puerto Octay
1905,Hospital Purranque
1906,Hospital de Rio Negro
1907,Hospital Mision San Juan de la Costa
1908,Hospital del Perpetuo Socorro de Quilacahuin
2003,Hospital Calbuco
2004,Hospital Chaiten
2005,Hospital de Fresia
2006,Hospital de Frutillar
2007,Hospital Futaleufu
2008,Hospital de Llanquihue
2009,Hospital de Maullin
20010,Hospital de Palena
20011,Hospital de Puerto Montt
20012,Consultorio de Hualaihue
20013,SAMU RELONCAVI
2103,Direccion de Salud Rural
2104,Hospital de Cisnes
2105,Hospital de Chile Chico
2106,Hospital de Cochrane
2107,Hospital de Coyhaique
2108,Hospital de Puerto Aysen
2109,Consultorio A. Gutierrez
21010,Consultorio Victor Domingo Silva
2203,Hospital Porvenir
2204,Hospital de Puerto Natales
2205,Hospital Regional de Punta Arenas
2206,Cecosf Puerto Williams
2207,SAMU Magallanes
2208,Hospital Psiquiatrico
2209,Atencion Primaria de Salud
22010,UNIDAD SALUD MENTAL - CTAS COMPLEMENTARIAS
22011,ESTABLECIMIENTO LARGA ESTADIA ADULTO MAYOR
22012,Hospital Comunitario Cristina Calderon de Puerto Williams
2303,Hospital del Torax
2304,Hospital Luis Calvo Mackenna
2305,Hospital Santiago Oriente Luis Tisne
2306,Hospital Salvador
2307,Instituto de Geriatria
2308,Instituto de Neurocirugia
2309,Instituto Pedro Aguirre Cerda
23010,Hospital de Hanga Roa
2403,Direccion Atencion Primaria
2404,Hospital Clinico San Borja Arriaran
2405,Hospital De Urgencia Asistencia Publica
2406,Hospital El Carmen
2407,Centro Metropolitano de Atencion Hospitalaria
2503,Hospital Barros Luco Trudeau
2504,Hospital Enfermedades Infecciosas
2505,Hospital Exequiel Gonzalez Cortes
2506,Hospital San Luis de Buin
2507,Hospital Sanatorio El Peral
2508,Hospital Sanatorio El Pino
2603,Centro De Diagnostico Terapeutico
2604,Hospital de Til Til
2605,Hospital Roberto del Rio
2606,Hospital San Jose
2607,Instituto Nacional del Cancer
2608,Instituto Psiquiatrico
2703,Centro de Referencia Salud Occidente Salvador Allende
2704,Hospital de Curacavi
2705,Hospital de Melipilla
2706,Hospital de Pe̱aflor
2707,Hospital de Talagante
2708,Hospital Felix Bulnes
2709,Hospital San Juan de Dios
27010,Instituto Traumatologico
27011,Hospital Metropolitano
2803,Centro de Referencia de Salud
2804,Hospital Sotero del Rio
2805,Hospital San Jose de Maipo
2806,Hospital La Florida
2807,CRS Puente Alto
3001, Hospital Padre Alberto Hurtado
3101,Centro de Referencia de Salud Maipu
3201,Centro de Referencia de Salud de Pe̱alolen Cordillera Oriente
3302,Hospital Castro
3303,Hospital Quellon
3304,Hospital Achao
3305,Hospital Queilen
3306,Hospital Ancud
