hospital_id,hospital_name,year,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
107101,Hospital de Quillota,2017,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99
107102,Hospital de Quilpué,2017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,1.0,1.0,1.07,1.07,1.07,1.07,1.07,1.07
108100,Hospital San Camilo de San Felipe,2017,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.04,1.06,1.05,1.04,1.04,0.85,0.85,0.85,0.85,0.85,0.85
108101,Hospital San Juan de Dios (Los Andes),2017,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.08,1.09,1.1,1.1,1.02,1.02,1.02,1.02,1.02,1.02
109100,Hospital San José,2017,0.99,0.99,0.99,0.99,0.99,0.99,1.02,1.04,1.05,1.06,1.06,1.06,1.04,1.04,1.04,1.04,1.04,1.04
109101,Hospital Roberto del Río,2017,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.91,0.91,0.89,0.87,0.86,0.96,0.96,0.96,0.96,0.96,0.96
110100,Hospital San Juan de Dios (Santiago),2017,1.07,1.07,1.07,1.07,1.07,1.07,1.06,1.07,1.08,1.09,1.09,1.09,0.98,0.98,0.98,0.98,0.98,0.98
110120,Hospital Félix Bulnes Cerda,2017,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.04,1.06,1.07,1.07,1.07,1.0,1.0,1.0,1.0,1.0,1.0
110150,Hospital de Melipilla,2017,0.99,0.99,0.99,0.99,0.99,0.99,1.01,1.02,1.02,1.0,0.99,0.98,0.77,0.77,0.77,0.77,0.77,0.77
111100,Hospital Clínico San Borja Arriarán,2017,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.9,0.91,0.92,0.92,1.07,1.07,1.07,1.07,1.07,1.07
111101,Hospital El Carmen de Maipú,2017,0.77,0.77,0.77,0.77,0.77,0.77,0.85,0.86,0.85,0.92,0.91,0.91,1.0,1.0,1.0,1.0,1.0,1.0
111195,Hospital de Urgencia Asistencia Pública,2017,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,1.01,0.98,0.98,0.98,1.26,1.26,1.26,1.26,1.26,1.26
112100,Hospital Del Salvador de Santiago,2017,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.1,1.11,1.12,1.12,1.12,0.99,0.99,0.99,0.99,0.99,0.99
112101,Hospital Santiago Oriente Luis Tisne,2017,1.26,1.26,1.26,1.26,1.26,1.26,1.29,1.31,1.3,1.29,1.28,1.27,1.03,1.03,1.03,1.03,1.03,1.03
112102,Hospital Luis Calvo Mackena,2017,0.52,0.52,0.52,0.52,0.52,0.52,0.56,0.6,0.64,0.62,0.64,0.68,1.08,1.08,1.08,1.08,1.08,1.08
112103,Hospital del Tórax,2017,1.04,1.04,1.04,1.04,1.04,1.04,1.03,1.05,1.07,1.1,1.11,1.1,0.93,0.93,0.93,0.93,0.93,0.93
112104,Instituto de Neurocirugía,2017,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.05,1.06,1.08,0.91,0.91,0.91,0.91,0.91,0.91
113100,Hospital Barros Luco Trudeau,2017,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.92,0.92,0.92,0.93,2.39,2.39,2.39,2.39,2.39,2.39
113130,Hospital Exequiel González Cortés,2017,1.34,1.34,1.34,1.34,1.34,1.34,1.33,1.35,1.38,1.43,1.48,1.5,2.38,2.38,2.38,2.38,2.38,2.38
113180,Hospital Sanatorio El Pino,2017,2.38,2.38,2.38,2.38,2.38,2.38,2.51,2.32,2.01,1.79,1.6,1.41,0.93,0.93,0.93,0.93,0.93,0.93
114101,Hospital Sótero del Río,2017,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.92,0.92,0.92,0.92,1.08,1.08,1.08,1.08,1.08,1.08
114103,Hospital Padre Alberto Hurtado,2017,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.03,1.05,1.07,1.08,1.1,1.08,1.08,1.08,1.08,1.08,1.08
115100,Hospital de Rancagua,2017,0.98,0.98,0.98,0.98,0.98,0.98,0.99,1.06,1.08,1.1,1.1,1.1,1.09,1.09,1.09,1.09,1.09,1.09
115107,Hospital San Fernando,2017,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.09,1.08,1.08,1.08,1.08,1.05,1.05,1.05,1.05,1.05,1.05
116100,Hospital de Curicó,2017,1.08,1.08,1.08,1.08,1.08,1.08,1.09,1.1,1.1,1.09,1.09,1.09,1.01,1.01,1.01,1.01,1.01,1.01
116105,Hospital de Talca,2017,8106784234893087.0,8106784234893087.0,8106784234893087.0,inf,inf,inf,8104627403059821.0,8368998696285193.0,9051905479623404.0,inf,inf,inf,1.01,1.01,1.01,1.01,1.01,1.01
116108,Hospital de Linares,2017,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.1,1.13,1.09,1.09,1.09,0.95,0.95,0.95,0.95,0.95,0.95
117101,Hospital de Chillán,2017,0.95,0.95,0.95,0.95,0.95,0.95,0.99,1.0,1.01,1.02,1.02,1.02,1.22,1.22,1.22,1.22,1.22,1.22
117102,Hospital de San Carlos,2017,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.04,1.07,1.12,1.15,1.16,1.0,1.0,1.0,1.0,1.0,1.0
118100,Hospital Guillermo Grant Benavente,2017,1.22,1.22,1.22,1.22,1.22,1.22,1.26,1.2,1.15,1.1,1.05,1.01,0.98,0.98,0.98,0.98,0.98,0.98
118105,Hospital de Coronel,2017,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.07,1.12,1.15,1.17,1.18,1.09,1.09,1.09,1.09,1.09,1.09
119100,Hospital de Las Higueras,2017,0.98,0.98,0.98,0.98,0.98,0.98,1.0,1.02,1.04,1.06,1.1,1.15,0.94,0.94,0.94,0.94,0.94,0.94
120101,Hospital de Los Ángeles,2017,1.09,1.09,1.09,1.09,1.09,1.09,0.99,1.04,1.11,1.2,1.27,1.33,0.98,0.98,0.98,0.98,0.98,0.98
121109,Hospital de Temuco,2017,1.04,1.04,1.04,1.04,1.04,1.04,1.03,1.02,1.01,1.03,1.04,1.04,1.19,1.19,1.19,1.19,1.19,1.19
122100,Hospital de Valdivia,2017,1.01,1.01,1.01,1.01,1.01,1.01,1.09,1.1,1.09,1.08,1.07,1.06,0.97,0.97,0.97,0.97,0.97,0.97
123100,Hospital de Osorno,2017,0.98,0.98,0.98,0.98,0.98,0.98,1.0,1.0,1.0,1.0,1.01,1.01,1.1,1.1,1.1,1.1,1.1,1.1
124105,Hospital de Puerto Montt,2017,1.19,1.19,1.19,1.19,1.19,1.19,1.22,1.24,1.24,1.24,1.24,1.24,0.52,0.52,0.52,0.52,0.52,0.52
125100,Hospital de Coyhaique,2017,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,
126100,Hospital Regional de Punta Arenas,2017,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.07,1.1,1.13,1.16,1.17,,,,,,
129100,Hospital de Angol,2017,0.97,0.97,0.97,0.97,0.97,0.97,0.98,1.01,1.08,1.1,1.1,1.1,,,,,,
129106,Hospital de Victoria,2017,1.1,1.1,1.1,1.1,1.1,1.1,1.08,1.09,1.09,1.08,1.09,1.1,,,,,,
133150,Hospital de Castro,2017,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.97,0.95,0.93,0.92,0.91,,,,,,
