hospital_id,hospital_fns_id,region_id,hospital_name_x,hospital_name_y,latitud,longitud
115102,905,6,Hospital Coínco,Hospital de Coínco,-342667,-709933
115103,906,6,Hospital Peumo,Hospital Del Salvador (Peumo),-343903,-712542
115104,907,6,Hospital de Rengo,Hospital Dr. Ricardo Valenzuela Sáez (Rengo),-344065,-708587
115105,908,6,Hospital San Vicente,Hospital San Vicente de Tagua-Tagua,-344487,-709682
115106,909,6,Hospital Pichidegua,Hospital de Pichidegua,-342998,-712786
115107,9010,6,Hospital San Fernando,Hospital San Juan de Dios (San Fernando),-345817,-709899
115108,9011,6,Hospital Chimbarongo,Hospital Mercedes (Chimbarongo),-347239,-710394
115109,9012,6,Hospital Nancagua,Hospital de Nancagua,-347012,-711288
115110,9013,6,Hospital Santa Cruz,Hospital de Santa Cruz,-346364,-713657
115111,9014,6,Hospital Marchigue,Hospital de Marchigüe,-344231,-715873
115112,9015,6,Hospital Pichilemu,Hospital de Pichilemu,-343869,-720095
115113,9016,6,Hospital de Lolol,Hospital de Lolol,-347589,-716721
115114,9017,6,Hospital de Litueche,Hospital de Litueche,-341344,-716822
116100,1003,7,Hospital Curicó,Hospital San Juan de Dios (Curicó),-349824,-712433
116101,1004,7,Hospital de Teno,Hospital de Teno,-348749,-711676
116102,1005,7,Hospital Molina,Hospital de Molina,-351155,-712826
116103,1006,7,Hospital Hualane,Hospital de Hualañé,-349768,-717986
116104,1007,7,Hospital Licantén,Hospital de Licantén,-349983,-718771
116105,1008,7,Hospital Talca,Hospital Dr. César Garavagno Burotto (Talca),-354232,-716485
116106,1009,7,Hospital Curepto,Hospital de Curepto,-350834,-720038
116107,10010,7,Hospital Constitución,Hospital de Constitución,-353329,-724162
116108,10011,7,Hospital Linares,Hospital Presidente Carlos Ibáñez del Campo (Linares),-358487,-715901
116109,10012,7,Hospital San Javier,Hospital Dr. Abel Fuentealba Lagos de San Javier,-355911,-717362
116110,10013,7,Hospital Parral,Hospital San José (Parral),-361438,-718369
116111,10014,7,Hospital Cauquenes,Hospital San Juan de Dios (Cauquenes),-359637,-723228
116112,10015,7,Hospital Chanco,Hospital Dr. Benjamín Pedreros (Chanco),-357335,-725435
117101,1103,16,Hospital de Chillán,Hospital Clínico Herminda Martín (Chillán),-366063,-721024
117102,1104,16,Hospital de San Carlos,Hospital de San Carlos,-364267,-719592
117103,1105,16,Hospital de Bulnes,Hospital Comunitario de Salud Familiar de Bulnes,-367411,-722996
117104,1106,16,Hospital de Yungay,Hospital Comunitario de Salud Familiar Pedro Morales Campos (Yungay),-371013,-719325
117106,1107,16,Hospital de Quirihue,Hospital Comunitario de Salud Familiar de Quirihue,-362821,-725323
117108,1108,16,Hospital de Coelemu,Hospital Comunitario de Salud Familiar Dr. Eduardo Contreras Trabucco de Coelemu,-364942,-727081
117107,1109,16,Hospital El Carmen,Hospital Comunitario de Salud Familiar de El Carmen,-365639,-720405
118100,1203,8,Hospital Guillermo  Grant Benavente,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),-368201,-730503
118103,1204,8,Hospital Traumatológico,Hospital Traumatológico (Concepción),-368276,-730565
118105,1205,8,Hospital de Coronel,Hospital San José (Coronel),-370302,-731412
118106,1206,8,Hospital Lota,Hospital de Lota,-370887,-731581
118107,1207,8,Hospital Santa Juana,Hospital Clorinda Avello (Santa Juana),-371696,-729339
118108,1208,8,Hospital Florida,Hospital San Agustín de Florida,-368227,-726696
119100,1303,8,Hospital Higueras,Hospital Las Higueras (Talcahuano),-367185,-731217
119101,1304,8,Hospital Tome,Hospital de Tomé,-366206,-729515
119102,1305,8,Hospital Penco Lirquén,Hospital Penco - Lirquén,-367399,-729955
0,1403,,Hospital Huepil,,,
120107,1404,8,Hospital de Laja,Hospital Comunitario Dr. Roberto Muñoz Urrutia de Huépil,-376869,-720197
120105,1405,8,Hospital de Los Ángeles,Hospital Comunitario de Laja,-372837,-727105
120101,1406,8,Hospital de Mulchén,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles),-374621,-723604
120102,1407,8,Hospital de Nacimiento,Hospital Comunitario de Mulchén,-377222,-722329
120103,1408,8,Hospital de Yumbel,Hospital Comunitario de Nacimiento,-375079,-726766
120104,1409,8,Hospital Santa Bárbara,Hospital Comunitario de Yumbel,-370846,-725645
128113,1503,8,Hospital Arauco,Hospital San Vicente (Arauco),-372462,-733219
128111,1504,8,Hospital de Cañete,Hospital Intercultural Kallvu Llanka (Cañete),-378047,-733832
128112,1505,8,Hospital Contulmo,Hospital de Contulmo,-380172,-732277
128109,1506,8,Hospital Curanilahue,Hospital Provincial Dr. Rafael Avaría (Curanilahue),-374764,-733437
128110,1507,8,Hospital Lebu,Hospital de Lebu,-376088,-736595
129100,1603,9,Hospital Angol,Hospital Dr. Mauricio Heyermann (Angol),-377966,-727099
129106,1604,9,Hospital Victoria,Hospital San José de Victoria,-382363,-723315
129104,1605,9,Hospital Traiguén,Hospital Dr. Dino Stagno M.(Traiguén),-382502,-726886
129103,1606,9,Hospital de Collipulli,Hospital de Collipulli,-379536,-724364
129101,1607,9,Hospital Purén,Hospital de Purén,-380503,-726734
129107,1608,9,Hospital Curacautín,Hospital Dr. Oscar Hernández E.(Curacautín),-384353,-718888
129108,1609,9,Hospital de Lonquimay,Hospital de Lonquimay,-384476,-712306
0,1703,,Consultorio de Miraflores,,,
121113,1704,9,Hospital de Cunco,Hospital Dr. Eduardo González Galeno (Cunco),-389325,-720292
121114,1705,9,Hospital Nueva Imperial,Hospital Intercultural de Nueva Imperial,-387449,-729503
121121,1706,9,Hospital Villarica,Hospital de Villarrica,-392868,-722278
121115,1707,9,Hospital Carahue,Hospital de Carahue,-387082,-731669
121119,1708,9,Hospital Gorbea,Hospital de Gorbea,-390973,-726763
121117,1709,9,Hospital Pitrufquén,Hospital de Pitrufquén,-392291,-726402
121116,17010,9,Hospital Puerto Saavedra,Hospital Dr. Arturo Hillerns Larrañaga (Saavedra),-387779,-734003
121118,17011,9,Hospital Toltén,Hospital de Toltén,-392144,-732075
121111,17012,9,Hospital Galvarino,Hospital de Galvarino,-384178,-727738
121110,17013,9,Hospital Lautaro,Hospital Dr. Abraham Godoy (Lautaro),-385277,-724466
121120,17014,9,Hospital Loncoche,Hospital de Loncoche,-393702,-726311
121112,17015,9,Hospital Vilcún,Hospital de Vilcún,-386547,-722248
121109,17016,9,Hospital Temuco,Hospital Dr. Hernán Henríquez Aravena (Temuco),-387335,-725963
122100,1803,14,Hospital de Valdivia,Hospital Clínico Regional (Valdivia),-398099,-732459
122101,1804,14,Hospital de Corral,Hospital de Corral,-398826,-734306
122102,1805,14,Hospital de Los Lagos,Hospital de Los Lagos,-398561,-728254
122103,1806,14,Hospital de Lanco,Hospital de Lanco,-394529,-727751
122104,1807,14,Hospital de La Unión,Hospital Juan Morey (La Unión),-402931,-730812
122105,1808,14,Hospital de Río Bueno,Hospital de Río Bueno,-403326,-729535
122106,1809,14,Hospital de Paillaco,Hospital de Paillaco,-400692,-728776
0,18010,,Consultorio Externo,,,
123100,1903,10,Hospital de Osorno,Hospital Base San José de Osorno,-405744,-731252
123103,1904,10,Hospital Puerto Octay,Hospital de Puerto Octay,-409736,-729002
123101,1905,10,Hospital Purranque,Hospital de Purranque,-409074,-731689
123102,1906,10,Hospital de Río Negro,Hospital de Río Negro,-407839,-732163
123104,1907,10,Hospital Misión San Juan de la Costa,Hospital Misión San Juan de la Costa,-405785,-733772
123105,1908,10,Hospital del Perpetuo Socorro de Quilacahuín,Hospital del Perpetuo Socorro de Quilacahuín,-407554,-734516
124130,2003,10,Hospital Calbuco,Hospital de Calbuco,-417726,-731315
0,2004,,Hospital Chaitén,,,
124120,2005,10,Hospital de Fresia,Hospital de Fresia,-411517,-734081
124115,2006,10,Hospital de Frutillar,Hospital de Frutillar,-411267,-730707
124145,2007,10,Hospital Futaleufú,Hospital de Futaleufú,-431863,-718684
124110,2008,10,Hospital de Llanquihue,Hospital de Llanquihue,-412606,-730042
124125,2009,10,Hospital de Maullín,Hospital de Maullín,-416192,-736056
124140,20010,10,Hospital de Palena,Hospital de Palena,-436161,-718036
124105,20011,10,Hospital de Puerto Montt,Hospital de Puerto Montt,-414687,-729411
125104,2104,11,Hospital de Cisnes,Hospital Dr. Jorge Ibar (Cisnes),-447477,-726964
125102,2105,11,Hospital de Chile Chico,Hospital Dr. Leopoldo Ortega R. (Chile Chico),-465416,-717265
125103,2106,11,Hospital de Cochrane,Hospital Lord Cochrane,-472549,-725687
125100,2107,11,Hospital de Coyhaique,Hospital Regional (Coihaique),-455713,-720661
125101,2108,11,Hospital de Puerto Aysén,Hospital de Puerto Aysén,-454037,-726993
126102,2203,12,Hospital Porvenir,Hospital Dr. Marco Antonio Chamorro ( Porvenir),-532984,-703683
126101,2204,12,Hospital de Puerto Natales,Hospital Dr. Augusto Essmann Burgos ( Natales),-517264,-725143
126100,2205,12,Hospital Regional de Punta Arenas,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,-531598,-709056
112103,2303,13,Hospital del Tórax,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,-334428,-706193
112102,2304,13,Hospital Luis Calvo Mackenna,Hospital de Niños Dr. Luis Calvo Mackenna (Santiago,Hospital Luis Calvo Mackenna,-334401
112101,2305,13,Hospital Santiago Oriente Luis Tisne,Hospital Dr. Luis Tisné B. (Santiago,Hospital Santiago Oriente Luis Tisne,-334711
112100,2306,13,Hospital Salvador,Hospital Del Salvador (Santiago,Hospital Salvador,-334345
112106,2307,13,Instituto de Geriatría,Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva,-334269,-706456
112104,2308,13,Instituto de Neurocirugía,Instituto de Neurocirugía Dr. Alfonso Asenjo,-334384,-706492
112105,2309,13,Instituto Pedro Aguirre Cerda,Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda,-334285,-706498
112107,23010,13,Hospital de Hanga Roa,Hospital Hanga Roa (Isla De Pascua),-271501,-1094209
111100,2404,13,Hospital Clínico San Borja Arriaran,Hospital Clínico San Borja-Arriarán (Santiago,Hospital Clínico San Borja Arriaran,-334566
0,2405,,Hospital De Urgencia Asistencia Pública,,,
111101,2406,13,Hospital El Carmen de Maipú,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,-335089,-707552
113100,2503,13,Hospital Barros Luco Trudeau,Hospital Barros Luco Trudeau (Santiago,Hospital Barros Luco Trudeau,-334866
113160,2504,13,Hospital Enfermedades Infecciosas,Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago,Hospital Enfermedades Infecciosas,-334984
113130,2505,13,Hospital Exequiel González Cortés,Hospital Dr. Exequiel González Cortés (Santiago,Hospital Exequiel González Cortés,-335013
113150,2506,13,Hospital San Luis de Buin,Hospital San Luis (Buin),-337336,-707478
113170,2507,13,Hospital Sanatorio El Peral,Hospital Psiquiátrico El Peral (Santiago,Hospital Sanatorio El Peral,-335876
113180,2508,13,Hospital Sanatorio El Pino,Hospital El Pino (Santiago,Hospital Sanatorio El Pino,-336091
0,2603,,Centro De Diagnóstico Terapéutico,,,
109104,2604,13,Hospital de Til Til,Hospital de Til Til,-331383,-708035
109101,2605,13,Hospital Roberto del Río,Hospital Clínico de Niños Dr. Roberto del Río (Santiago,Hospital Roberto del Río,-334164
109100,2606,13,Hospital San José,Complejo Hospitalario San José (Santiago,Hospital San José,-334074
109103,2607,13,Instituto Nacional del Cáncer,Instituto Nacional del Cáncer Dr. Caupolicán Pardo Correa (Santiago,Instituto Nacional del Cáncer,-333986
109102,2608,13,Instituto Psiquiátrico,Instituto Psiquiátrico Dr. José Horwitz Barak (Santiago,Instituto Psiquiátrico,-334032
110160,2704,13,Hospital de Curacaví,Hospital de Curacaví,-333961,-711549
110150,2705,13,Hospital de Melipilla,Hospital San José (Melipilla),-336864,-712145
110140,2706,13,Hospital de Peñaflor,Hospital de Peñaflor,-336051,-708789
110130,2707,13,Hospital de Talagante,Hospital Adalberto Steeger (Talagante),-336727,-709278
110120,2708,13,Hospital Félix Bulnes,Hospital Dr. Félix Bulnes Cerda (Santiago,Hospital Félix Bulnes,-334358
110100,2709,13,Hospital San Juan de Dios,Hospital San Juan de Dios (Santiago,Hospital San Juan de Dios,-334378
110110,27010,13,Instituto Traumatológico,Instituto Traumatológico Dr. Teodoro Gebauer,-334413,-706638
0,2803,,Hospital Metropolitano,,,
0,2804,,Centro de Referencia de Salud,,,
114101,2805,13,Hospital Sotero del Río,Complejo Hospitalario Dr. Sótero del Río (Santiago,Hospital Sotero del Río,-335847
114102,2806,13,Hospital San José de Maipo,Hospital San José de Maipo,-336764,-703508
114105,2807,13,Hospital La Florida,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,-335208,-705994
114103,3001,13,Hospital Padre Alberto Hurtado,Hospital Padre Alberto Hurtado (San Ramón),-335119,-706446
111351,3101,13,Centro de Referencia de Salud Maipú,Centro de Referencia de Salud de Maipú,-335116,-707603
0,3201,,Centro de Referencia de Salud Cordillera Peñalolén Cordillera Oriente,,,
133150,3302,10,Hospital Castro,Hospital de Castro,-424794,-737659
133165,3303,10,Hospital Quellón,Hospital de Quellón,-431171,-736256
133160,3304,10,Hospital Achao,Hospital Comunitario de Achao,-424806,-734826
133170,3305,10,Hospital Queilen,Hospital de Queilén,-428825,-734697
133155,3306,10,Hospital Ancud,Hospital de Ancud,-418703,-738222
